12456770000000000000001100000000000000000000000000000000,02000
14567700000000200000001110000000000000000000000005456000,54000
14556770000000200000001110000001000000011000000000000000,45156
00014770000000200010011110000001110100021000000000000000,17700
00014000000000277010011111000001110100021000000006366700,63600
00001470000000277010011111000011120100022100000000000000,34170
11255770000000000000000000000000000000000002221010000000,07000
11255700000000700000000001000000000000000002221016246700,62400
11255570000000700000000001000101000000001102221010000000,47525
00011560000000700010010001000101101010011102221010000000,31610
00050000000000700110010011002101101010012102221015446000,54000
00000350000000700110010011002102101010113102221010000000,13500
24455670000000000000000000000000000000000000000000000000,15200
01445670000000025000001100000000000000000000000000000000,45476
00001460000000025010011100000000011000110000000000000000,34160
00000000000000025110011101001001011000111000000006134700,61300
00000070000000025110011101002011011000211100000000000000,07000
00000000000000725110011111002011011000211100000005267000,52000
01336770000000000000000010000000000000000011122205467000,54000
13367770000000000000000010000001000000001111122200000000,43761
00036770000000000010010010000001011101001111122200000000,36730
00000270000000000110011110000001022102001111122200000000,12700
00000000000000027110011111000001022102001111122206445600,65600
00000050000000027110011111000003022102012111122200000000,05000
